date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:18	67/67	---M--	200	added ('OK')	text/plain	etag:%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://pulseapeyachtclub.net/robots.txt		(from )
12:43:18	3133/3133	---M-Z	200	added ('OK')	text/html	etag:%22e83cdb2b39be097f7fffd7827e4bc8db-ssl-df%22	https://pulseapeyachtclub.net/	/Users/oneilbenjamin/websites/paeps/index-2.html	(from )
12:43:19	56/56	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2021%20Jul%202023%2017:43:19%20GMT	http://pulseapeyachtclub.net/favicon.ico	/Users/oneilbenjamin/websites/paeps/favicon.0.delayed	(from https://pulseapeyachtclub.net/)
12:43:20	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221fc14f67ba2d7be71820abcb976db3c3-ssl%22	https://pulseapeyachtclub.net/favicon.ico	/Users/oneilbenjamin/websites/paeps/favicon.ico	(from https://pulseapeyachtclub.net/)
12:43:21	61/61	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2021%20Jul%202023%2017:43:21%20GMT	http://pulseapeyachtclub.net/config/theme.css	/Users/oneilbenjamin/websites/paeps/config/theme.2.delayed	(from https://pulseapeyachtclub.net/)
12:43:22	159/159	---M--	200	added ('OK')	text/css	etag:%220ff020254d9a8a49a1025dca62f7b7f4-ssl%22	https://pulseapeyachtclub.net/config/theme.css	/Users/oneilbenjamin/websites/paeps/config/theme.css	(from https://pulseapeyachtclub.net/)
12:43:23	56/56	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2021%20Jul%202023%2017:43:23%20GMT	http://pulseapeyachtclub.net/logo192.png	/Users/oneilbenjamin/websites/paeps/logo192.4.delayed	(from https://pulseapeyachtclub.net/)
12:43:26	58/58	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2021%20Jul%202023%2017:43:25%20GMT	http://pulseapeyachtclub.net/manifest.json	/Users/oneilbenjamin/websites/paeps/manifest.6.delayed	(from https://pulseapeyachtclub.net/)
12:43:26	32765/32765	---M--	200	added ('OK')	image/png	etag:%227ef5f9d123211e6db5a507a45e6bcb0c-ssl%22	https://pulseapeyachtclub.net/logo192.png	/Users/oneilbenjamin/websites/paeps/logo192.png	(from https://pulseapeyachtclub.net/)
12:43:26	471/471	---M--	200	added ('OK')	application/json	etag:%22c61d43e29e9935eeadc30b445fca9b13-ssl%22	https://pulseapeyachtclub.net/manifest.json	/Users/oneilbenjamin/websites/paeps/manifest.json	(from https://pulseapeyachtclub.net/)
12:43:27	79/79	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2021%20Jul%202023%2017:43:27%20GMT	http://pulseapeyachtclub.net/static/css/main.b3be25c8.chunk.css	/Users/oneilbenjamin/websites/paeps/static/css/main.b3be25c8.chunk.8.delayed	(from https://pulseapeyachtclub.net/)
